Assembly Accession	Organism Name	Organism Taxonomic ID	Assembly BioSample Strain 	Assembly Level	Assembly Type	Assembly Stats Number of Contigs
GCF_025948295.1	Streptococcus thermophilus	1308	CNRZ385	Complete Genome	haploid	1
GCF_027557675.1	Streptococcus thermophilus	1308	EG007	Complete Genome	haploid	2
GCF_028463905.1	Streptococcus thermophilus	1308	strain TSGB 4141	Complete Genome	haploid	1
GCF_030846755.1	Streptococcus thermophilus	1308	CICC 20372	Complete Genome	haploid	1
GCF_035758325.1	Streptococcus thermophilus	1308	SCB0351	Complete Genome	haploid	1
GCF_036923315.1	Streptococcus thermophilus	1308	TCI633	Complete Genome	haploid	1
GCF_038049945.1	Streptococcus thermophilus	1308	TCI125	Complete Genome	haploid	1
GCF_039781665.1	Streptococcus thermophilus	1308	4052	Complete Genome	haploid	1
GCF_039782795.1	Streptococcus thermophilus	1308	90728	Complete Genome	haploid	1
GCF_039783105.1	Streptococcus thermophilus	1308	90729	Complete Genome	haploid	1
GCF_039783195.1	Streptococcus thermophilus	1308	90730	Complete Genome	haploid	1
GCF_039783225.1	Streptococcus thermophilus	1308	CNRZ760	Complete Genome	haploid	1
GCF_039783255.1	Streptococcus thermophilus	1308	MM1	Complete Genome	haploid	1
GCF_039783285.1	Streptococcus thermophilus	1308	MM20	Complete Genome	haploid	1
GCF_039783295.1	Streptococcus thermophilus	1308	R1	Complete Genome	haploid	1
GCF_039783405.1	Streptococcus thermophilus	1308	ST19	Complete Genome	haploid	1
GCF_039783475.1	Streptococcus thermophilus	1308	AVA1121	Complete Genome	haploid	1
GCF_039783625.1	Streptococcus thermophilus	1308	CNRZ302	Complete Genome	haploid	1
GCF_039783635.1	Streptococcus thermophilus	1308	CNRZ1575	Complete Genome	haploid	1
GCF_039783785.1	Streptococcus thermophilus	1308	CNRZ887	Complete Genome	haploid	1
GCF_039783955.1	Streptococcus thermophilus	1308	4145	Complete Genome	haploid	1
GCF_039784265.1	Streptococcus thermophilus	1308	1A	Complete Genome	haploid	2
GCF_039784555.1	Streptococcus thermophilus	1308	4021	Complete Genome	haploid	2
GCF_039784805.1	Streptococcus thermophilus	1308	AVA116	Complete Genome	haploid	2
GCF_039784855.1	Streptococcus thermophilus	1308	CNRZ1202	Complete Genome	haploid	3
GCF_039784885.1	Streptococcus thermophilus	1308	ST128	Complete Genome	haploid	2
GCF_039784895.1	Streptococcus thermophilus	1308	ST55	Complete Genome	haploid	2
GCF_039784985.1	Streptococcus thermophilus	1308	4147	Complete Genome	haploid	2
GCF_900094135.1	Streptococcus thermophilus	1308	ACA-DC 2	Complete Genome	haploid	1
GCF_900474985.1	Streptococcus thermophilus	1308	NCTC12958	Complete Genome	haploid	1
GCF_900492165.1	Streptococcus thermophilus	1308	N4L	Complete Genome	haploid	1
GCF_903884415.1	Streptococcus thermophilus	1308		Complete Genome	haploid	1
GCF_903885985.1	Streptococcus thermophilus	1308		Complete Genome	haploid	1
GCF_903886075.1	Streptococcus thermophilus	1308		Complete Genome	haploid	1
GCF_903886195.1	Streptococcus thermophilus	1308		Complete Genome	haploid	1
GCF_903886205.1	Streptococcus thermophilus	1308		Complete Genome	haploid	1
GCF_903886285.1	Streptococcus thermophilus	1308		Complete Genome	haploid	1
GCF_903886345.1	Streptococcus thermophilus	1308		Complete Genome	haploid	1
GCF_903886385.1	Streptococcus thermophilus	1308		Complete Genome	haploid	1
GCF_903886505.1	Streptococcus thermophilus	1308		Complete Genome	haploid	2
GCF_903886595.1	Streptococcus thermophilus	1308		Complete Genome	haploid	3
GCF_903886635.1	Streptococcus thermophilus	1308		Complete Genome	haploid	1
GCF_903886645.1	Streptococcus thermophilus	1308		Complete Genome	haploid	2
GCF_903886745.1	Streptococcus thermophilus	1308		Complete Genome	haploid	1
GCF_903890635.1	Streptococcus thermophilus	1308		Complete Genome	haploid	1
GCF_903890695.1	Streptococcus thermophilus	1308		Complete Genome	haploid	2
GCF_903890795.1	Streptococcus thermophilus	1308		Complete Genome	haploid	1
GCF_903890815.1	Streptococcus thermophilus	1308		Complete Genome	haploid	1
GCF_903890825.1	Streptococcus thermophilus	1308		Complete Genome	haploid	1
GCF_903890905.1	Streptococcus thermophilus	1308		Complete Genome	haploid	1
GCF_903890925.1	Streptococcus thermophilus	1308		Complete Genome	haploid	1
GCF_903890945.1	Streptococcus thermophilus	1308		Complete Genome	haploid	1
GCF_903891015.1	Streptococcus thermophilus	1308		Complete Genome	haploid	1
GCF_903891025.1	Streptococcus thermophilus	1308		Complete Genome	haploid	1
GCF_903891105.1	Streptococcus thermophilus	1308		Complete Genome	haploid	1
GCF_903891135.1	Streptococcus thermophilus	1308		Complete Genome	haploid	2
GCF_903891195.1	Streptococcus thermophilus	1308		Complete Genome	haploid	1
GCF_903891205.1	Streptococcus thermophilus	1308		Complete Genome	haploid	1
GCF_903891245.1	Streptococcus thermophilus	1308		Complete Genome	haploid	1
GCF_903891305.1	Streptococcus thermophilus	1308		Complete Genome	haploid	1
GCF_903960675.1	Streptococcus thermophilus	1308		Complete Genome	haploid	2
GCF_000698885.1	Streptococcus thermophilus ASCC 1275	1408178	ASCC 1275	Complete Genome	haploid	1
GCF_000011845.1	Streptococcus thermophilus CNRZ1066	299768	CNRZ1066	Complete Genome	haploid	1
GCF_000253395.1	Streptococcus thermophilus JIM 8232	1051074	JIM 8232	Complete Genome	haploid	1
GCF_000014485.1	Streptococcus thermophilus LMD-9	322159	LMD-9	Complete Genome	haploid	3
GCF_000011825.1	Streptococcus thermophilus LMG 18311	264199	LMG 18311	Complete Genome	haploid	1
GCF_000262675.1	Streptococcus thermophilus MN-ZLW-002	1187956	MN-ZLW-002	Complete Genome	haploid	1
GCF_000182875.1	Streptococcus thermophilus ND03	767463	ND03	Complete Genome	haploid	1
GCF_024346585.1	Streptococcus toyakuensis	2819619	TP1632	Complete Genome	haploid	1
GCF_002355215.1	Streptococcus troglodytae	1111760	TKU 31	Complete Genome	haploid	1
GCF_002814135.1	Streptococcus uberis	1349	NZ01	Complete Genome	haploid	1
GCF_900475595.1	Streptococcus uberis	1349	NCTC3858	Complete Genome	haploid	1
GCF_900475695.1	Streptococcus uberis	1349	NCTC4674	Complete Genome	haploid	1
GCF_000009545.1	Streptococcus uberis 0140J	218495	0140J	Complete Genome	haploid	1
GCF_900636885.1	Streptococcus urinalis	149016	NCTC13766	Complete Genome	haploid	1
GCF_900636445.1	Streptococcus vestibularis	1343	NCTC12167	Complete Genome	haploid	1
GCF_900636365.1	Streptococcus viridans	78535	NCTC3166	Complete Genome	haploid	1
GCF_004323735.1	Streptomonospora litoralis	2498135	M2	Complete Genome	haploid	2
GCF_036873425.1	Streptomyces acidiscabies	42234	B21-098	Complete Genome	haploid	1
GCF_036873705.1	Streptomyces acidiscabies	42234	B21-078	Complete Genome	haploid	3
GCF_003208035.1	Streptomyces actuosus	1885	ATCC 25421	Complete Genome	haploid	1
GCF_019599145.1	Streptomyces akebiae	2865673	MG28	Complete Genome	haploid	2
GCF_000359525.1	Streptomyces albidoflavus	1886	J1074	Complete Genome	haploid	1
GCF_001577385.1	Streptomyces albidoflavus	1886	SM254	Complete Genome	haploid	1
GCF_013693715.1	Streptomyces albidoflavus	1886	J1074/R2	Complete Genome	haploid	1
GCF_015601545.1	Streptomyces albidoflavus	1886	W68	Complete Genome	haploid	1
GCF_026635925.1	Streptomyces albidoflavus	1886	J1074_D14	Complete Genome	haploid	1
GCF_030345275.1	Streptomyces albidoflavus	1886	MGMM6	Complete Genome	haploid	1
GCF_034479045.1	Streptomyces albidoflavus	1886	ATCC 23899	Complete Genome	haploid	1
GCF_035955795.1	Streptomyces albidoflavus	1886	NBC_01331	Complete Genome	haploid	2
GCF_036238395.1	Streptomyces albidoflavus	1886	NBC_01271	Complete Genome	haploid	1
GCF_036239155.1	Streptomyces albidoflavus	1886	NBC_01270	Complete Genome	haploid	1
GCF_036247045.1	Streptomyces albidoflavus	1886	NBC 01722	Complete Genome	haploid	1
GCF_038242915.1	Streptomyces albidoflavus	1886	RKJM-0023	Complete Genome	haploid	2
GCF_038662715.1	Streptomyces albidoflavus	1886	SC-3	Complete Genome	haploid	1
GCF_947311705.1	Streptomyces albidoflavus	1886	CCOS 2040	Complete Genome	haploid	3
GCF_002192455.1	Streptomyces albireticuli	1940	MDJK11	Complete Genome	haploid	1
GCF_002189675.2	Streptomyces alboflavus	67267	MDJK44	Complete Genome	haploid	3
GCF_008704395.1	Streptomyces alboniger	132473	ATCC 12461	Complete Genome	haploid	1
GCF_024752535.1	Streptomyces albus	1888	DSM 40763	Complete Genome	haploid	2
GCF_011006355.1	Streptomyces albus	1888	CAS922	Complete Genome	haploid	1
GCF_018141485.1	Streptomyces alfalfae	1642299	XN-04	Complete Genome	haploid	2
GCF_001975025.1	Streptomyces alfalfae	1642299	ACCC40021	Complete Genome	haploid	1
GCF_016128295.1	Streptomyces alfalfae	1642299	Men-myco-93-63	Complete Genome	haploid	1
GCF_001632865.1	Streptomyces ambofaciens	1889	DSM 40697	Complete Genome	haploid	1
GCF_001267885.1	Streptomyces ambofaciens ATCC 23877	278992	ATCC 23877	Complete Genome	haploid	2
GCF_019933235.1	Streptomyces angustmyceticus	285578	JCM 4053	Complete Genome	haploid	1
GCF_025252265.1	Streptomyces angustmyceticus	285578	CQUSa03	Complete Genome	haploid	4
GCF_035917655.1	Streptomyces anthocyanicus	68174	NBC 01777	Complete Genome	haploid	2
GCF_036226945.1	Streptomyces anthocyanicus	68174	NBC 01687	Complete Genome	haploid	2
GCF_012044595.1	Streptomyces antibioticus	1890	DSM 41481	Complete Genome	haploid	1
GCF_030291795.1	Streptomyces antimycoticus	68175	FIM95-F1	Complete Genome	haploid	1
GCF_009936315.1	Streptomyces antimycoticus	68175	NBRC 100767	Complete Genome	haploid	1
GCF_020783455.1	Streptomyces anulatus	1892	YINM00001	Complete Genome	haploid	2
GCF_019378935.1	Streptomyces anulatus	1892	VUW1	Complete Genome	haploid	1
GCF_035917915.1	Streptomyces anulatus	1892	NBC 01759	Complete Genome	haploid	2
GCF_035954115.1	Streptomyces anulatus	1892	NBC_01333	Complete Genome	haploid	2
GCF_036010525.1	Streptomyces anulatus	1892	NBC_01196	Complete Genome	haploid	2
GCF_036206925.1	Streptomyces anulatus	1892	NBC_00171	Complete Genome	haploid	1
GCF_036227625.1	Streptomyces anulatus	1892	NBC_01437	Complete Genome	haploid	1
GCF_036227645.1	Streptomyces anulatus	1892	NBC_01436	Complete Genome	haploid	1
GCF_036232045.1	Streptomyces anulatus	1892	NBC_01421	Complete Genome	haploid	2
GCF_036346555.1	Streptomyces anulatus	1892	NBC_00535	Complete Genome	haploid	2
GCF_036346915.1	Streptomyces anulatus	1892	NBC_00502	Complete Genome	haploid	1
GCF_003955715.1	Streptomyces aquilus	2548456	GGCR-6	Complete Genome	haploid	1
GCF_013046785.1	Streptomyces argyrophyllae	2726118	Jing01	Complete Genome	haploid	1
GCF_013085465.1	Streptomyces asoensis	249586	H2S5	Complete Genome	haploid	1
GCF_003330865.1	Streptomyces atratus	1893	SCSIO_ZH16	Complete Genome	haploid	1
GCF_034300035.1	Streptomyces atratus	1893	MJM3502	Complete Genome	haploid	1
GCF_014701115.1	Streptomyces aurantiacus	47760	JCM 4677	Complete Genome	haploid	1
GCF_027107535.1	Streptomyces aurantiacus	47760	Qhu-M197	Complete Genome	haploid	2
GCF_000280865.2	Streptomyces auratus AGR0001	1160718	AGR0001	Complete Genome	haploid	1
GCF_010669165.1	Streptomyces aureoverticillatus	66871	HN6	Complete Genome	haploid	2
GCF_001983975.1	Streptomyces autolyticus	75293	CGMCC0516	Complete Genome	haploid	8
GCF_000009765.2	Streptomyces avermitilis MA-4680 = NBRC 14893	227882	MA-4680	Complete Genome	haploid	2
GCF_015910445.1	Streptomyces bathyalis	2710756	ASO4wet	Complete Genome	haploid	1
GCF_000092385.1	Streptomyces bingchenggensis BCW-1	749414	BCW-1	Complete Genome	haploid	1
GCF_036172715.1	Streptomyces bobili	67280	NBC_00302	Complete Genome	haploid	1
GCF_035917795.1	Streptomyces brevispora	887462	NBC 01769	Complete Genome	haploid	1
GCF_036250715.1	Streptomyces brevispora	887462	NBC_01496	Complete Genome	haploid	1
GCF_009796285.1	Streptomyces broussonetiae	2686304	T44	Complete Genome	haploid	1
GCF_014295035.1	Streptomyces buecherae	2763006	AC541	Complete Genome	haploid	1
GCF_013364335.1	Streptomyces buecherae	2763006	NA00687	Complete Genome	haploid	2
GCF_003261055.1	Streptomyces cadmiisoli	2184053	ZFG47	Complete Genome	haploid	2
GCF_016906185.1	Streptomyces californicus	67351	FDAARGOS_1209	Complete Genome	haploid	3
GCF_016906205.1	Streptomyces californicus	67351	FDAARGOS_1212	Complete Genome	haploid	5
GCF_016906225.1	Streptomyces californicus	67351	FDAARGOS_1211	Complete Genome	haploid	5
GCF_016906245.1	Streptomyces californicus	67351	FDAARGOS_1213	Complete Genome	haploid	6
GCF_016906265.1	Streptomyces californicus	67351	FDAARGOS_1210	Complete Genome	haploid	3
GCF_006716135.1	Streptomyces calvus	67282	DSM 41452	Complete Genome	haploid	1
GCF_027625935.1	Streptomyces camelliae	3004093	HUAS 2-6	Complete Genome	haploid	3
GCF_036178885.1	Streptomyces caniferus	285557	NBC_00270	Complete Genome	haploid	2
GCF_036124195.1	Streptomyces caniferus	285557	NBC_00337	Complete Genome	haploid	1
GCF_036167175.1	Streptomyces caniferus	285557	NBC_00314	Complete Genome	haploid	1
GCF_036226425.1	Streptomyces caniferus	285557	NBC_01256	Complete Genome	haploid	1
GCF_014852565.2	Streptomyces caniscabiei	2746961	ID03-3A	Complete Genome	haploid	1
GCF_036177905.1	Streptomyces canus	58343	NBC_00277	Complete Genome	haploid	2
GCF_035918175.1	Streptomyces canus	58343	NBC_01585	Complete Genome	haploid	2
GCF_036110805.1	Streptomyces canus	58343	NBC_00350	Complete Genome	haploid	3
GCF_036197725.1	Streptomyces canus	58343	NBC_00225	Complete Genome	haploid	1
GCF_036226545.1	Streptomyces canus	58343	NBC_00710	Complete Genome	haploid	1
GCF_036227285.1	Streptomyces canus	58343	NBC_01475	Complete Genome	haploid	2
GCF_036237135.1	Streptomyces canus	58343	NBC_01360	Complete Genome	haploid	1
GCF_025133285.1	Streptomyces carpaticus	285558	SCPM-O-B-9993	Complete Genome	haploid	1
GCF_029760955.1	Streptomyces cathayae	3031124	HUAS 5	Complete Genome	haploid	2
GCF_002804165.1	Streptomyces cavourensis	67258	1AS2a	Complete Genome	haploid	1
GCF_003352445.1	Streptomyces cavourensis	67258	TJ430	Complete Genome	haploid	1
GCF_024297125.1	Streptomyces cavourensis	67258	2BA6PG	Complete Genome	haploid	1
GCF_024365045.1	Streptomyces cavourensis	67258	F2	Complete Genome	haploid	2
GCF_026642235.1	Streptomyces cavourensis	67258	NA4	Complete Genome	haploid	2
GCF_024600715.1	Streptomyces changanensis	2964669	HL-66	Complete Genome	haploid	2
GCF_008704715.1	Streptomyces chartreusis	1969	ATCC 14922	Complete Genome	haploid	1
GCF_013375055.1	Streptomyces chartreusis	1969	NA02069	Complete Genome	haploid	1
GCF_036010565.1	Streptomyces chartreusis	1969	NBC_00215	Complete Genome	haploid	1
GCF_036345055.1	Streptomyces chartreusis	1969	NBC_00590	Complete Genome	haploid	2
GCF_900236475.1	Streptomyces chartreusis NRRL 3882	1079985		Complete Genome	haploid	1
GCF_900236505.1	Streptomyces chartreusis NRRL 3882	1079985		Complete Genome	haploid	1
GCF_015160875.1	Streptomyces chromofuscus	42881	DSM 40273	Complete Genome	haploid	1
GCF_009299385.1	Streptomyces cinereoruber	67260	ATCC 19740	Complete Genome	haploid	1
GCF_027270315.1	Streptomyces cinnabarinus	67287	DSM 40467	Complete Genome	haploid	1
GCF_036345975.1	Streptomyces clavifer	68188	NBC_00558	Complete Genome	haploid	3
GCF_015767775.1	Streptomyces clavuligerus	1901	F1D7	Complete Genome	haploid	2
GCF_001693675.1	Streptomyces clavuligerus	1901	F613-1	Complete Genome	haploid	2
GCF_003454755.1	Streptomyces clavuligerus	1901	F1D-5	Complete Genome	haploid	3
GCF_005519465.1	Streptomyces clavuligerus	1901	ATCC 27064	Complete Genome	haploid	2
GCF_015708605.1	Streptomyces clavuligerus	1901	ATCC 27064	Complete Genome	haploid	4
GCF_015767735.1	Streptomyces clavuligerus	1901	F1D1	Complete Genome	haploid	2
GCF_015767755.1	Streptomyces clavuligerus	1901	F1D4	Complete Genome	haploid	5
GCF_015767795.1	Streptomyces clavuligerus	1901	F1D10	Complete Genome	haploid	3
GCF_015767815.1	Streptomyces clavuligerus	1901	F1D14	Complete Genome	haploid	3
GCF_015767855.1	Streptomyces clavuligerus	1901	F1D18	Complete Genome	haploid	2
GCF_015767875.1	Streptomyces clavuligerus	1901	F1D26	Complete Genome	haploid	2
GCF_015767895.1	Streptomyces clavuligerus	1901	F1D31	Complete Genome	haploid	2
GCF_015767915.1	Streptomyces clavuligerus	1901	F1D35	Complete Genome	haploid	3
GCF_015767935.1	Streptomyces clavuligerus	1901	F1D28	Complete Genome	haploid	2
GCF_028752555.1	Streptomyces clavuligerus	1901	DSM 738	Complete Genome	haploid	5
GCF_036101175.1	Streptomyces coelicoflavus	285562	NBC_00357	Complete Genome	haploid	4
GCF_008931305.1	Streptomyces coelicolor A3(2)	100226	CFB_NBC_0001	Complete Genome	haploid	1
GCF_008705135.1	Streptomyces coeruleorubidus	116188	ATCC 13740	Complete Genome	haploid	1
GCF_028885415.1	Streptomyces coeruleorubidus	116188	DM	Complete Genome	haploid	1
GCF_033216215.1	Streptomyces coeruleorubidus	116188	CICC 11043	Complete Genome	haploid	2
GCF_021496465.1	Streptomyces collinus	42684	SQ	Complete Genome	haploid	1
GCF_031348265.1	Streptomyces collinus	42684	CGMCC 4.1623	Complete Genome	haploid	1
GCF_032927875.1	Streptomyces collinus	42684	Inha504	Complete Genome	haploid	1
GCF_000444875.1	Streptomyces collinus Tu 365	1214242	Tu 365	Complete Genome	haploid	3
GCF_003963535.1	Streptomyces cyaneochromogenes	2496836	MK-45	Complete Genome	haploid	1
GCF_033109485.1	Streptomyces cyaneofuscatus	66883	89-2-2	Complete Genome	haploid	1
GCF_035578105.1	Streptomyces cyaneofuscatus	66883	NEB1061	Complete Genome	haploid	1
GCF_035917555.1	Streptomyces cyaneofuscatus	66883	NBC 01792	Complete Genome	haploid	2
GCF_035918115.1	Streptomyces cyaneofuscatus	66883	NBC 01749	Complete Genome	haploid	2
GCF_035950875.1	Streptomyces cyaneofuscatus	66883	NBC_01338	Complete Genome	haploid	1
GCF_000931445.1	Streptomyces cyaneogriseus subsp. noncyanogenus	477245	NMWT 1	Complete Genome	haploid	1
GCF_017526105.1	Streptomyces cyanogenus	80860	S136	Complete Genome	haploid	1
GCF_025642135.1	Streptomyces cynarae	2981134	HUAS 13-4	Complete Genome	haploid	2
GCF_003675325.1	Streptomyces dangxiongensis	1442032	Z022	Complete Genome	haploid	2
GCF_022385335.1	Streptomyces deccanensis	424188	KCTC 19241	Complete Genome	haploid	1
GCF_019880305.1	Streptomyces decoyicus	249567	NRRL 2666	Complete Genome	haploid	1
GCF_035917695.1	Streptomyces decoyicus	249567	NBC 01774	Complete Genome	haploid	1
GCF_036013815.1	Streptomyces decoyicus	249567	NBC_00472	Complete Genome	haploid	2
GCF_036237195.1	Streptomyces decoyicus	249567	NBC_01359	Complete Genome	haploid	2
GCF_002946835.1	Streptomyces dengpaensis	2049881	XZHG99	Complete Genome	haploid	3
GCF_026167665.1	Streptomyces drozdowiczii	202862	MDA8-470	Complete Genome	haploid	1
GCF_023498005.1	Streptomyces durmitorensis	319947	MS405	Complete Genome	haploid	2
GCF_031760065.1	Streptomyces durocortorensis	2811104	C11-1	Complete Genome	haploid	1
GCF_026153355.1	Streptomyces endophytica	2991496	HNM0140	Complete Genome	haploid	1
GCF_036170895.1	Streptomyces erythrochromogenes	285574	NBC_00303	Complete Genome	haploid	2
GCF_036346855.1	Streptomyces europaeiscabiei	146819	NBC_00515	Complete Genome	haploid	3
GCF_035962435.1	Streptomyces europaeiscabiei	146819	NBC 01735	Complete Genome	haploid	2
GCF_036013565.1	Streptomyces europaeiscabiei	146819	NBC_00497	Complete Genome	haploid	2
GCF_036013605.1	Streptomyces europaeiscabiei	146819	NBC_00494	Complete Genome	haploid	1
GCF_036013765.1	Streptomyces europaeiscabiei	146819	NBC_00480	Complete Genome	haploid	1
GCF_036093575.1	Streptomyces europaeiscabiei	146819	NBC_00363	Complete Genome	haploid	2
GCF_036181125.1	Streptomyces europaeiscabiei	146819	NBC_00261	Complete Genome	haploid	1
GCF_009498275.1	Streptomyces fagopyri	2662397	QMT-28	Complete Genome	haploid	1
GCF_015160855.1	Streptomyces ferrugineus	1413221	CCTCC AA2014009	Complete Genome	haploid	1
GCF_009739905.1	Streptomyces ficellus	1977088	NRRL 8067	Complete Genome	haploid	1
GCF_023716005.1	Streptomyces filamentosus	67294	L30	Complete Genome	haploid	1
GCF_014216315.1	Streptomyces finlayi	67296	NBSH44	Complete Genome	haploid	2
GCF_030388665.1	Streptomyces flavofungini	68200	TRM90047	Complete Genome	haploid	4
GCF_001735805.1	Streptomyces fodineus	1904616	TW1S1	Complete Genome	haploid	1
GCF_022647665.1	Streptomyces formicae	1616117	1H-GS9	Complete Genome	haploid	2
GCF_002556545.1	Streptomyces formicae	1616117	KY5	Complete Genome	haploid	1
GCF_023376055.1	Streptomyces fradiae	1906	ZXY017	Complete Genome	haploid	1
GCF_032932555.1	Streptomyces fradiae	1906	FIMYZ-003	Complete Genome	haploid	1
GCF_008704425.1	Streptomyces fradiae ATCC 10745 = DSM 40063	1319510	ATCC 10745	Complete Genome	haploid	1
GCF_003665435.1	Streptomyces fungicidicus	68203	TXX3120	Complete Genome	haploid	2
GCF_020783515.1	Streptomyces fungicidicus	68203	F10	Complete Genome	haploid	1
GCF_020783535.1	Streptomyces fungicidicus	68203	F9	Complete Genome	haploid	1
GCF_020783555.1	Streptomyces fungicidicus	68203	F8	Complete Genome	haploid	1
GCF_020783575.1	Streptomyces fungicidicus	68203	ATCC 21013	Complete Genome	haploid	1
GCF_020783595.1	Streptomyces fungicidicus	68203	F2	Complete Genome	haploid	1
GCF_020783615.1	Streptomyces fungicidicus	68203	F1	Complete Genome	haploid	1
GCF_020783635.1	Streptomyces fungicidicus	68203	F7	Complete Genome	haploid	1
GCF_008704575.1	Streptomyces galilaeus	33899	ATCC 14969	Complete Genome	haploid	1
GCF_015710995.1	Streptomyces gardneri	66892	ATCC 15439	Complete Genome	haploid	1
GCF_014489615.1	Streptomyces genisteinicus	2768068	CRPJ-33	Complete Genome	haploid	3
GCF_002082195.1	Streptomyces gilvosporeus	553510	F607	Complete Genome	haploid	1
GCF_000761215.1	Streptomyces glaucescens	1907	GLA.O	Complete Genome	haploid	2
GCF_003147545.1	Streptomyces globisporus	1908	TFH56	Complete Genome	haploid	3
GCF_000261345.2	Streptomyces globisporus C-1027	1172567	C-1027	Complete Genome	haploid	3
GCF_003325375.1	Streptomyces globosus	68209		Complete Genome	haploid	3
GCF_021216675.1	Streptomyces gobiensis	2875706	1_25	Complete Genome	haploid	1
GCF_027942015.1	Streptomyces goshikiensis	1942	CGMCC 4.1796	Complete Genome	haploid	5
GCF_034568915.1	Streptomyces goshikiensis	1942	B-1662	Complete Genome	haploid	4
GCF_036010625.1	Streptomyces goshikiensis	1942	NBC_01191	Complete Genome	haploid	3
GCF_036175285.1	Streptomyces goshikiensis	1942	NBC_00283	Complete Genome	haploid	2
GCF_030294945.1	Streptomyces graminofaciens	68212	A-8890	Complete Genome	haploid	1
GCF_001542625.1	Streptomyces griseochromogenes	68214	ATCC 14511	Complete Genome	haploid	1
GCF_014673495.1	Streptomyces griseofuscus	146922	DSM 40191	Complete Genome	haploid	4
GCF_003595235.1	Streptomyces griseorubiginosus	67304	3E-1	Complete Genome	haploid	1
GCF_006516935.1	Streptomyces griseorubiginosus	67304	BTU6	Complete Genome	haploid	1
GCF_036345115.1	Streptomyces griseorubiginosus	67304	NBC_00587	Complete Genome	haploid	2
GCF_036345135.1	Streptomyces griseorubiginosus	67304	NBC_00586	Complete Genome	haploid	4
GCF_003994395.1	Streptomyces griseoviridis	45398	F1-27	Complete Genome	haploid	1
GCF_005222485.1	Streptomyces griseoviridis	45398	K61	Complete Genome	haploid	1
GCF_003610995.1	Streptomyces griseus subsp. griseus	67263	ATCC 13273	Complete Genome	haploid	1
GCF_000010605.1	Streptomyces griseus subsp. griseus NBRC 13350	455632	NBRC 13350	Complete Genome	haploid	1
GCF_023277745.1	Streptomyces halobius	2879846	3_2	Complete Genome	haploid	1
GCF_013364095.1	Streptomyces harbinensis	1176198	NA02264	Complete Genome	haploid	1
GCF_004803895.1	Streptomyces hawaiiensis	67305	ATCC 12236	Complete Genome	haploid	1
GCF_035918035.1	Streptomyces hirsutus	35620	NBC 01753	Complete Genome	haploid	1
GCF_021028635.1	Streptomyces huasconensis	1854574	D23	Complete Genome	haploid	1
GCF_003627815.1	Streptomyces hundungensis	1077946	BH38	Complete Genome	haploid	1
GCF_022846675.1	Streptomyces hygroscopicus	1912	HOK021	Complete Genome	haploid	1
GCF_037126205.1	Streptomyces hygroscopicus subsp. hygroscopicus	68042	DSM 41954	Complete Genome	haploid	1
GCF_036287475.1	Streptomyces iakyrus	68219	CGMCC 4.1912	Complete Genome	haploid	1
GCF_022221585.1	Streptomyces inhibens	2293571	NRRL30439	Complete Genome	haploid	1
GCF_031593255.1	Streptomyces janthinus	67308	JCM 4387	Complete Genome	haploid	2
GCF_036189845.1	Streptomyces jietaisiensis	235987	NBC_00521	Complete Genome	haploid	3
GCF_036189065.1	Streptomyces jietaisiensis	235987	NBC_00522	Complete Genome	haploid	1
GCF_036190545.1	Streptomyces jietaisiensis	235987	NBC_00504	Complete Genome	haploid	1
GCF_036224405.1	Streptomyces jietaisiensis	235987	NBC_00489	Complete Genome	haploid	1
GCF_036226185.1	Streptomyces jietaisiensis	235987	NBC_00478	Complete Genome	haploid	1
GCF_036347095.1	Streptomyces jietaisiensis	235987	NBC_00805	Complete Genome	haploid	1
GCF_008704495.1	Streptomyces kanamyceticus	1967	ATCC 12853	Complete Genome	haploid	1
GCF_024442315.1	Streptomyces koelreuteriae	2838015	CRLD-Y-1	Complete Genome	haploid	2
GCF_018604545.1	Streptomyces koelreuteriae	2838015	MG62	Complete Genome	haploid	1
GCF_016803985.1	Streptomyces koyangensis	188770	SCSIO 5802	Complete Genome	haploid	2
GCF_003428925.1	Streptomyces koyangensis	188770	VK-A60T	Complete Genome	haploid	1
GCF_030719275.1	Streptomyces laculatispora	887464	Mut2	Complete Genome	haploid	5
GCF_018255875.1	Streptomyces lavendulae subsp. lavendulae	58340	Del-LP	Complete Genome	haploid	1
GCF_002803845.1	Streptomyces lavendulae subsp. lavendulae	58340	CCM 3239	Complete Genome	haploid	2
GCF_001013905.1	Streptomyces leeuwenhoekii	1437453	type strain (C34 = DSM 42122 = NRRL B-24963)	Complete Genome	haploid	3
GCF_011694815.1	Streptomyces liangshanensis	2717324	QMT-12	Complete Genome	haploid	1
GCF_027497475.1	Streptomyces libani subsp. libani	68044	DSM 40555	Complete Genome	haploid	1
GCF_027947595.1	Streptomyces lienomycini	284035	DSM 41475	Complete Genome	haploid	1
GCF_016598615.1	Streptomyces liliifuscus	2797636	ZYC-3	Complete Genome	haploid	2
GCF_003344445.1	Streptomyces lincolnensis	1915	LC-G	Complete Genome	haploid	1
GCF_001685355.1	Streptomyces lincolnensis	1915	NRRL 2936	Complete Genome	haploid	1
GCF_014083905.1	Streptomyces lincolnensis	1915	B48	Complete Genome	haploid	1
GCF_000739105.1	Streptomyces lividans TK24	457428	TK24	Complete Genome	haploid	1
